Date,Open,High,Low,Close,Adj Close,Volume
2023-12-29,100.27,100.28,100.27,100.27,92.69,3189200
2023-12-28,100.26,100.27,100.26,100.26,92.68,3386700
2023-12-27,100.21,100.21,100.20,100.20,92.62,3096500
2023-12-26,100.19,100.20,100.19,100.19,92.61,2559900
2023-12-22,100.17,100.18,100.17,100.18,92.61,3353700
2023-12-21,100.16,100.17,100.16,100.17,92.60,4097500
2023-12-20,100.11,100.12,100.10,100.11,92.54,4477200
2023-12-19,100.09,100.10,100.08,100.10,92.53,4336200
2023-12-18,100.08,100.08,100.07,100.07,92.50,4107700
2023-12-15,100.06,100.07,100.06,100.06,92.49,3426500
2023-12-14,100.05,100.06,100.04,100.05,92.49,5268100
2023-12-13,100.46,100.46,100.45,100.45,92.43,4326000
2023-12-12,100.45,100.45,100.44,100.44,92.43,2250300
2023-12-11,100.43,100.43,100.42,100.43,92.42,2478600
2023-12-08,100.41,100.41,100.40,100.41,92.40,2503500
2023-12-07,100.40,100.41,100.39,100.40,92.39,2551100
2023-12-06,100.35,100.36,100.35,100.35,92.34,2371200
2023-12-05,100.35,100.35,100.33,100.35,92.34,2138900
2023-12-04,100.33,100.34,100.32,100.33,92.32,3521600
2023-12-01,100.32,100.32,100.31,100.32,92.31,6708000
2023-11-30,100.72,100.74,100.72,100.73,92.28,6294600
2023-11-29,100.68,100.70,100.68,100.70,92.26,2921000
2023-11-28,100.68,100.69,100.67,100.67,92.23,1779200
2023-11-27,100.68,100.68,100.66,100.66,92.22,2890600
2023-11-24,100.66,100.66,100.65,100.66,92.22,1104400
2023-11-22,100.64,100.64,100.63,100.63,92.19,2190400
2023-11-21,100.58,100.60,100.58,100.59,92.16,2011400
2023-11-20,100.57,100.57,100.56,100.56,92.13,2597700
2023-11-17,100.54,100.55,100.54,100.55,92.12,2158800
2023-11-16,100.53,100.54,100.53,100.53,92.10,2420200
2023-11-15,100.48,100.49,100.48,100.48,92.06,3981800
2023-11-14,100.48,100.48,100.47,100.48,92.06,3774800
2023-11-13,100.45,100.46,100.44,100.44,92.02,7757900
2023-11-10,100.45,100.45,100.43,100.43,92.01,3029700
2023-11-09,100.42,100.44,100.42,100.43,92.01,2604100
2023-11-08,100.39,100.39,100.38,100.38,91.96,3479900
2023-11-07,100.38,100.38,100.36,100.36,91.95,3550900
2023-11-06,100.35,100.36,100.35,100.36,91.95,3746500
2023-11-03,100.34,100.35,100.34,100.34,91.93,3352000
2023-11-02,100.32,100.34,100.32,100.33,91.92,3989700
2023-11-01,100.29,100.30,100.28,100.29,91.88,9100400
2023-10-31,100.69,100.70,100.69,100.70,91.87,4720800
2023-10-30,100.68,100.69,100.68,100.68,91.85,3542400
2023-10-27,100.67,100.67,100.66,100.66,91.83,3906000
2023-10-26,100.66,100.66,100.64,100.66,91.83,2870600
2023-10-25,100.61,100.62,100.60,100.60,91.77,3023800
2023-10-24,100.60,100.60,100.59,100.60,91.77,2151500
2023-10-23,100.58,100.59,100.58,100.59,91.77,2585300
2023-10-20,100.57,100.57,100.56,100.57,91.75,2817300
2023-10-19,100.55,100.55,100.54,100.55,91.73,2599100
2023-10-18,100.51,100.51,100.50,100.51,91.69,5428500
2023-10-17,100.49,100.49,100.48,100.49,91.67,2367400
2023-10-16,100.47,100.48,100.47,100.48,91.67,2622000
2023-10-13,100.46,100.46,100.45,100.45,91.64,2499400
2023-10-12,100.43,100.45,100.43,100.45,91.64,2064200
2023-10-11,100.40,100.40,100.39,100.40,91.59,2673500
2023-10-10,100.39,100.39,100.38,100.38,91.57,2865400
2023-10-09,100.39,100.39,100.38,100.38,91.57,2533900
2023-10-06,100.35,100.38,100.35,100.37,91.56,3186900
2023-10-05,100.35,100.36,100.35,100.36,91.56,3345400
2023-10-04,100.30,100.30,100.29,100.30,91.50,3347400
2023-10-03,100.29,100.30,100.28,100.28,91.48,4955000
2023-10-02,100.27,100.27,100.26,100.27,91.47,6244400
2023-09-29,100.64,100.67,100.60,100.67,91.46,5697300
2023-09-28,100.64,100.65,100.64,100.64,91.44,2880000
2023-09-27,100.61,100.61,100.59,100.61,91.41,3450300
2023-09-26,100.59,100.59,100.58,100.58,91.38,2836000
2023-09-25,100.58,100.58,100.57,100.58,91.38,2866300
2023-09-22,100.55,100.56,100.55,100.56,91.36,3379500
2023-09-21,100.55,100.55,100.54,100.54,91.34,3186500
2023-09-20,100.50,100.51,100.49,100.51,91.32,1965900
2023-09-19,100.48,100.49,100.48,100.48,91.29,1702900
2023-09-18,100.47,100.48,100.47,100.47,91.28,2307700
2023-09-15,100.46,100.46,100.45,100.46,91.27,2323300
